ID_REDE;1_REDE_DE_ENSINO;V00_Total de escolas por rede;V01_Escolas sem instalações elétricas;V02_Escolas com instalações elétricas;V03_1. Acesso adequado - fibra;V04_2. Acesso inadequado - menos de 20 km;V05_3. Acesso inadequado - mais de 20 km;V06_4. Acesso inadequado - localização imprecisa;V07_Escolas acima de 1Mbps;V08_Escolas abaixo de 1Mbps;V09_Escolas com medidor;V10_Escolas sem medidor
Municipal - 2609600;Municipal - Olinda;73;0;73;72;0;0;1;2;71;16;57
Estadual - 51;Estadual - Mato Grosso;707;12;695;587;43;49;28;180;527;653;54
Municipal - 1500800;Municipal - Ananindeua;88;0;88;86;2;0;0;18;70;53;35
Municipal - 1501501;Municipal - Benevides;34;0;34;31;3;0;0;5;29;25;9
Municipal - 1304401;Municipal - Urucurituba;29;5;24;11;8;9;1;0;29;2;27
Estadual - 15;Estadual - Pará;882;2;880;759;71;29;23;60;822;577;305
Municipal - 1501709;Municipal - Bragança;131;4;127;57;72;1;1;14;117;39;92
Municipal - 1501006;Municipal - Aveiro;53;11;42;3;0;50;0;0;53;8;45
Municipal - 4314902;Municipal - Porto Alegre;98;0;98;98;0;0;0;19;79;82;16
Estadual - 43;Estadual - Rio Grande do Sul;2347;2;2345;2150;136;8;53;670;1677;1695;652
Municipal - 1502152;Municipal - Canaã dos Carajás;23;0;23;19;4;0;0;4;19;10;13
Estadual - 16;Estadual - Amapá;378;57;321;204;80;79;15;4;374;68;310
Municipal - 1502855;Municipal - Curuá;38;23;15;6;30;2;0;0;38;5;33
Municipal - 1504422;Municipal - Marituba;59;0;59;59;0;0;0;9;50;58;1
Municipal - 2604106;Municipal - Caruaru;143;0;143;100;42;0;1;15;128;72;71
Municipal - 1715002;Municipal - Nova Rosalândia;2;0;2;2;0;0;0;0;2;2;0
Estadual - 41;Estadual - Paraná;2108;1;2107;1995;111;1;1;423;1685;1769;339
Municipal - 1505908;Municipal - Porto de Moz;98;13;85;7;3;88;0;0;98;6;92
Municipal - 1508050;Municipal - Trairão;19;0;19;7;4;8;0;0;19;2;17
Municipal - 1701101;Municipal - Aparecida do Rio Negro;2;0;2;1;1;0;0;0;2;1;1
Municipal - 1702109;Municipal - Araguaína;74;0;74;64;8;2;0;14;60;32;42
Municipal - 4208906;Municipal - Jaraguá do Sul;61;0;61;61;0;0;0;7;54;61;0
Estadual - 21;Estadual - Maranhão;1068;28;1040;689;265;113;1;85;983;390;678
Estadual - 53;Estadual - Distrito Federal;658;0;658;618;39;1;0;21;637;214;444
Municipal - 5105259;Municipal - Lucas do Rio Verde;20;0;20;20;0;0;0;0;20;6;14
Municipal - 3170206;Municipal - Uberlândia;121;0;121;114;6;1;0;37;84;112;9
Municipal - 5004700;Municipal - Ivinhema;5;0;5;4;1;0;0;0;5;2;3
Municipal - 2105708;Municipal - Lago da Pedra;58;0;58;40;18;0;0;11;47;24;34
Municipal - 2109106;Municipal - Presidente Dutra;31;0;31;24;7;0;0;1;30;20;11
Municipal - 2207603;Municipal - Parnaguá;14;0;14;6;3;5;0;0;14;4;10
Municipal - 2111029;Municipal - São João do Carú;32;0;32;3;0;29;0;1;31;3;29
Estadual - 22;Estadual - Piauí;639;0;639;542;58;39;0;56;583;307;332
Municipal - 2207801;Municipal - Paulistana;19;0;19;19;0;0;0;2;17;18;1
Municipal - 5008305;Municipal - Três Lagoas;38;0;38;37;0;1;0;7;31;33;5
Municipal - 5205109;Municipal - Catalão;30;0;30;27;3;0;0;3;27;20;10
Municipal - 4211306;Municipal - Navegantes;45;0;45;42;3;0;0;7;38;40;5
Municipal - 2408102;Municipal - Natal;146;0;146;146;0;0;0;10;136;91;55
Estadual - 24;Estadual - Rio Grande do Norte;581;0;581;564;16;1;0;98;483;463;118
Municipal - 4211900;Municipal - Palhoça;60;0;60;59;0;0;1;20;40;36;24
Municipal - 2610707;Municipal - Paulista;58;0;58;57;0;0;1;11;47;35;23
Municipal - 2611606;Municipal - Recife;328;0;328;328;0;0;0;91;237;295;33
Municipal - 2615409;Municipal - Toritama;16;0;16;14;2;0;0;0;16;1;15
Estadual - 27;Estadual - Alagoas;309;0;309;294;14;0;1;18;291;194;115
Municipal - 2805703;Municipal - Propriá;9;0;9;7;2;0;0;0;9;8;1
Estadual - 29;Estadual - Bahia;1056;1;1055;995;52;7;2;41;1015;482;574
Estadual - 31;Estadual - Minas Gerais;3495;0;3495;3320;140;26;9;990;2505;2959;536
Municipal - 3521002;Municipal - Iperó;16;0;16;15;1;0;0;5;11;16;0
Municipal - 4205407;Municipal - Florianópolis;124;0;124;122;2;0;0;33;91;96;28
Municipal - 4302105;Municipal - Bento Gonçalves;45;0;45;45;0;0;0;3;42;8;37
Municipal - 5103353;Municipal - Confresa;15;0;15;13;0;1;1;0;15;7;8
Municipal - 3134707;Municipal - Jacinto;12;0;12;6;5;1;0;0;12;3;9
Municipal - 3146107;Municipal - Ouro Preto;45;0;45;30;14;0;1;1;44;12;33
Municipal - 3518800;Municipal - Guarulhos;153;0;153;139;0;0;14;3;150;41;112
Municipal - 3161502;Municipal - São Geraldo;3;0;3;3;0;0;0;1;2;3;0
Municipal - 5000856;Municipal - Angélica;5;0;5;5;0;0;0;1;4;3;2
Municipal - 3534401;Municipal - Osasco;150;0;150;150;0;0;0;0;150;123;27
Municipal - 3522505;Municipal - Itapevi;64;0;64;64;0;0;0;16;48;57;7
Municipal - 4214409;Municipal - Rio das Antas;5;0;5;5;0;0;0;1;4;5;0
Municipal - 4216602;Municipal - São José;63;0;63;59;0;0;4;5;58;56;7
Municipal - 3515004;Municipal - Embu das Artes;46;0;46;46;0;0;0;3;43;9;37
Municipal - 3300233;Municipal - Armação dos Búzios;25;0;25;25;0;0;0;0;25;14;11
Municipal - 4321600;Municipal - Tramandaí;18;0;18;18;0;0;0;5;13;18;0
Municipal - 3301702;Municipal - Duque de Caxias;180;0;180;175;3;0;2;23;157;112;68
Municipal - 3301876;Municipal - Iguaba Grande;15;0;15;14;1;0;0;3;12;13;2
Municipal - 5002951;Municipal - Chapadão do Sul;12;0;12;12;0;0;0;2;10;9;3
Municipal - 3528502;Municipal - Mairiporã;43;0;43;40;1;0;2;4;39;23;20
Municipal - 3538006;Municipal - Pindamonhangaba;61;0;61;59;2;0;0;10;51;46;15
Municipal - 4320909;Municipal - Tapejara;13;0;13;12;1;0;0;2;11;10;3
Municipal - 3554003;Municipal - Tatuí;72;0;72;59;13;0;0;7;65;10;62
Municipal - 3552809;Municipal - Taboão da Serra;59;0;59;59;0;0;0;3;56;57;2
Municipal - 4312906;Municipal - Nova Bassano;5;0;5;4;1;0;0;1;4;4;1
Municipal - 4316105;Municipal - Ronda Alta;4;0;4;4;0;0;0;0;4;4;0
Municipal - 3510302;Municipal - Capela do Alto;12;0;12;11;1;0;0;2;10;7;5
Municipal - 3541901;Municipal - Queluz;6;0;6;4;2;0;0;1;5;2;4
Municipal - 4322400;Municipal - Uruguaiana;33;0;33;28;3;1;1;0;33;2;31
Municipal - 3521408;Municipal - Iracemápolis;7;0;7;7;0;0;0;0;7;4;3
Municipal - 3305505;Municipal - Saquarema;62;0;62;47;9;0;6;2;60;7;55
Municipal - 3537602;Municipal - Peruíbe;39;0;39;35;4;0;0;22;17;31;8
Municipal - 3306305;Municipal - Volta Redonda;97;0;97;97;0;0;0;20;77;60;37
Municipal - 3546801;Municipal - Santa Isabel;22;0;22;21;1;0;0;2;20;15;7
Municipal - 3508504;Municipal - Caçapava;28;0;28;28;0;0;0;4;24;23;5
Municipal - 3509007;Municipal - Caieiras;38;0;38;38;0;0;0;4;34;22;16
Municipal - 4311809;Municipal - Marau;24;0;24;21;2;0;1;7;17;14;10
Municipal - 5006200;Municipal - Nova Andradina;20;0;20;19;1;0;0;8;12;19;1
Municipal - 3509700;Municipal - Campos do Jordão;35;0;35;32;3;0;0;5;30;8;27
Municipal - 3517901;Municipal - Guaraci;5;0;5;5;0;0;0;1;4;4;1
Municipal - 5005707;Municipal - Naviraí;15;0;15;14;1;0;0;0;15;10;5
Estadual - 52;Estadual - Goiás;963;0;963;938;20;4;1;292;671;781;182
Municipal - 3540002;Municipal - Pompéia;7;0;7;7;0;0;0;1;6;7;0
Municipal - 3549102;Municipal - São João da Boa Vista;33;0;33;31;2;0;0;9;24;22;11
Municipal - 3549805;Municipal - São José do Rio Preto;126;0;126;124;0;0;2;48;78;113;13
Municipal - 5211305;Municipal - Itarumã;5;0;5;5;0;0;0;1;4;4;1
Municipal - 3551009;Municipal - São Vicente;102;0;102;102;0;0;0;21;81;59;43
Municipal - 5104104;Municipal - Guarantã do Norte;33;14;19;22;10;1;0;3;30;11;22
Municipal - 4106902;Municipal - Curitiba;415;0;415;415;0;0;0;9;406;221;194
Municipal - 5208400;Municipal - Goianápolis;6;0;6;6;0;0;0;1;5;3;3
Municipal - 4204301;Municipal - Concórdia;46;0;46;45;1;0;0;10;36;24;22
Municipal - 4210100;Municipal - Mafra;30;0;30;27;3;0;0;11;19;25;5
Municipal - 5000807;Municipal - Anaurilândia;3;0;3;2;1;0;0;0;3;2;1
Municipal - 5204854;Municipal - Campo Limpo de Goiás;2;0;2;2;0;0;0;0;2;2;0
Municipal - 4218004;Municipal - Tijucas;25;0;25;22;3;0;0;13;12;20;5
Municipal - 4305801;Municipal - Constantina;5;0;5;5;0;0;0;0;5;4;1
Municipal - 5100201;Municipal - Água Boa;16;0;16;14;2;0;0;3;13;12;4
Municipal - 4316907;Municipal - Santa Maria;75;0;75;72;3;0;0;20;55;58;17
Municipal - 5002704;Municipal - Campo Grande;205;0;205;199;4;1;1;30;175;140;65
Municipal - 5000708;Municipal - Anastácio;15;0;15;13;2;0;0;1;14;11;4
Municipal - 5208707;Municipal - Goiânia;318;0;318;318;0;0;0;120;198;296;22
Municipal - 5213806;Municipal - Morrinhos;20;0;20;19;1;0;0;6;14;14;6
Municipal - 3304102;Municipal - Porciúncula;11;0;11;9;1;0;1;1;10;4;7
Municipal - 1503507;Municipal - Irituia;99;2;97;77;22;0;0;8;91;16;83
Municipal - 5100300;Municipal - Alto Araguaia;9;0;9;8;1;0;0;4;5;8;1
Municipal - 4208450;Municipal - Itapoá;13;0;13;13;0;0;0;1;12;13;0
Municipal - 3125101;Municipal - Extrema;21;0;21;20;1;0;0;2;19;20;1
Municipal - 1503606;Municipal - Itaituba;117;9;108;50;26;40;1;4;113;22;95
Municipal - 4315602;Municipal - Rio Grande;74;0;74;64;8;0;2;12;62;38;36
Municipal - 3169901;Municipal - Ubá;30;0;30;29;1;0;0;3;27;25;5
Municipal - 3555000;Municipal - Tupã;19;0;19;18;1;0;0;0;19;1;18
Municipal - 5207105;Municipal - Diorama;3;0;3;2;1;0;0;0;3;2;1
Municipal - 5212501;Municipal - Luziânia;62;0;62;58;3;0;1;20;42;56;6
Municipal - 4121000;Municipal - Querência do Norte;7;0;7;4;3;0;0;0;7;1;6
Municipal - 2930600;Municipal - Serrolândia;9;0;9;4;5;0;0;0;9;8;1
Municipal - 1600600;Municipal - Santana;32;1;31;23;4;2;3;4;28;17;15
Municipal - 2708402;Municipal - São José da Tapera;28;0;28;17;11;0;0;1;27;11;17
Municipal - 5007307;Municipal - Rio Negro;2;0;2;2;0;0;0;0;2;1;1
Municipal - 3300308;Municipal - Barra do Piraí;37;0;37;37;0;0;0;15;22;37;0
Municipal - 2103208;Municipal - Chapadinha;133;0;133;65;37;31;0;7;126;51;82
Municipal - 3516408;Municipal - Franco da Rocha;54;1;53;54;0;0;0;34;20;46;8
Municipal - 3303401;Municipal - Nova Friburgo;122;0;122;106;15;0;1;9;113;45;77
Municipal - 5106653;Municipal - Pontal do Araguaia;2;0;2;2;0;0;0;0;2;2;0
Municipal - 3538709;Municipal - Piracicaba;126;0;126;121;3;0;2;15;111;45;81
Municipal - 1505700;Municipal - Ponta de Pedras;51;32;19;23;25;3;0;3;48;15;36
Municipal - 2614105;Municipal - Sertânia;29;0;29;11;15;3;0;0;29;4;25
Municipal - 2907202;Municipal - Casa Nova;111;23;88;26;21;47;17;1;110;11;100
Municipal - 3145208;Municipal - Nova Serrana;36;0;36;34;2;0;0;8;28;34;2
Municipal - 4204806;Municipal - Curitibanos;16;0;16;14;2;0;0;2;14;11;5
Municipal - 4127304;Municipal - Terra Rica;9;0;9;9;0;0;0;3;6;8;1
Municipal - 4203006;Municipal - Caçador;34;0;34;32;2;0;0;16;18;32;2
Municipal - 3118106;Municipal - Congonhas do Norte;3;0;3;3;0;0;0;0;3;1;2
Municipal - 1507706;Municipal - São Sebastião da Boa Vista;41;30;11;3;0;38;0;0;41;3;38
Municipal - 5002407;Municipal - Caarapó;11;0;11;11;0;0;0;0;11;10;1
Municipal - 2408003;Municipal - Mossoró;96;0;96;87;9;0;0;23;73;70;26
Municipal - 4214151;Municipal - Princesa;2;0;2;2;0;0;0;0;2;1;1
Municipal - 1505064;Municipal - Novo Repartimento;110;4;106;25;15;70;0;1;109;7;103
Municipal - 3544103;Municipal - Rio Grande da Serra;11;0;11;10;1;0;0;2;9;6;5
Municipal - 3522208;Municipal - Itapecerica da Serra;73;0;73;73;0;0;0;39;34;67;6
Municipal - 1505205;Municipal - Oeiras do Pará;46;22;24;22;11;13;0;4;42;26;20
Municipal - 3556701;Municipal - Vinhedo;36;0;36;36;0;0;0;0;36;34;2
Municipal - 3503307;Municipal - Araras;47;0;47;46;1;0;0;2;45;7;40
Municipal - 3540705;Municipal - Porto Ferreira;26;0;26;26;0;0;0;4;22;7;19
Municipal - 3505302;Municipal - Barra Bonita;10;0;10;10;0;0;0;3;7;10;0
Municipal - 5007109;Municipal - Ribas do Rio Pardo;10;0;10;10;0;0;0;1;9;4;6
Municipal - 3146305;Municipal - Padre Paraíso;19;0;19;8;11;0;0;2;17;4;15
Municipal - 4312708;Municipal - Nonoai;6;0;6;5;1;0;0;1;5;4;2
Municipal - 5217302;Municipal - Pirenópolis;14;0;14;14;0;0;0;3;11;13;1
Municipal - 5007703;Municipal - Sete Quedas;4;0;4;4;0;0;0;1;3;4;0
Municipal - 2306553;Municipal - Itarema;49;0;49;27;21;0;1;7;42;13;36
Estadual - 26;Estadual - Pernambuco;1055;4;1051;935;102;9;9;41;1014;570;485
Municipal - 1506104;Municipal - Primavera;11;0;11;9;2;0;0;2;9;7;4
Municipal - 4100400;Municipal - Almirante Tamandaré;53;0;53;53;0;0;0;18;35;36;17
Municipal - 2407203;Municipal - Macau;17;0;17;10;7;0;0;1;16;8;9
Municipal - 3552205;Municipal - Sorocaba;175;0;175;175;0;0;0;7;168;30;145
Municipal - 2510907;Municipal - Paulista;16;0;16;15;0;0;1;0;16;1;15
Municipal - 3523404;Municipal - Itatiba;60;0;60;59;1;0;0;9;51;41;19
Municipal - 4201406;Municipal - Araranguá;32;0;32;29;3;0;0;1;31;4;28
Municipal - 2927408;Municipal - Salvador;422;0;422;414;8;0;0;25;397;80;342
Municipal - 1506807;Municipal - Santarém;397;127;270;217;79;91;10;8;389;73;324
Municipal - 4316501;Municipal - Salvador do Sul;5;0;5;5;0;0;0;1;4;5;0
Municipal - 3123601;Municipal - Elói Mendes;12;0;12;9;3;0;0;3;9;12;0
Municipal - 3548708;Municipal - São Bernardo do Campo;176;0;176;175;1;0;0;17;159;47;129
Municipal - 4217956;Municipal - Tigrinhos;2;0;2;2;0;0;0;1;1;2;0
Municipal - 1507458;Municipal - São Geraldo do Araguaia;34;1;33;18;13;3;0;3;31;13;21
Municipal - 3551405;Municipal - Serra Azul;6;0;6;5;1;0;0;0;6;2;4
Municipal - 3522703;Municipal - Itápolis;16;0;16;15;1;0;0;1;15;5;11
Municipal - 4104808;Municipal - Cascavel;119;0;119;116;3;0;0;52;67;99;20
Municipal - 4111308;Municipal - Itaúna do Sul;2;0;2;2;0;0;0;0;2;2;0
Municipal - 3160801;Municipal - São Bento Abade;2;0;2;2;0;0;0;1;1;2;0
Municipal - 4124103;Municipal - Santo Antônio da Platina;25;0;25;21;4;0;0;9;16;22;3
Municipal - 3502804;Municipal - Araçatuba;66;0;66;63;3;0;0;0;66;16;50
Municipal - 4310330;Municipal - Imbé;15;0;15;15;0;0;0;0;15;3;12
Municipal - 4219507;Municipal - Xanxerê;24;0;24;23;1;0;0;2;22;13;11
Municipal - 1600238;Municipal - Ferreira Gomes;9;0;9;6;3;0;0;0;9;4;5
Municipal - 4318200;Municipal - São Francisco de Paula;13;0;13;12;0;0;1;0;13;13;0
Municipal - 4200101;Municipal - Abelardo Luz;12;0;12;9;3;0;0;0;12;3;9
Municipal - 4217204;Municipal - São Miguel do Oeste;23;0;23;22;1;0;0;3;20;12;11
Municipal - 3512803;Municipal - Cosmópolis;28;0;28;26;2;0;0;3;25;5;23
Municipal - 5206701;Municipal - Damianópolis;2;0;2;1;1;0;0;0;2;1;1
Municipal - 2205573;Municipal - Lagoa de São Francisco;11;0;11;11;0;0;0;1;10;5;6
Municipal - 4219705;Municipal - Xaxim;15;0;15;14;1;0;0;1;14;9;6
Municipal - 3502002;Municipal - Analândia;2;0;2;2;0;0;0;0;2;1;1
Municipal - 1600303;Municipal - Macapá;99;4;95;76;12;11;0;5;94;35;64
Municipal - 2608057;Municipal - Jatobá;12;0;12;7;5;0;0;0;12;2;10
Municipal - 4307104;Municipal - Herval;5;0;5;3;1;1;0;0;5;2;3
Municipal - 3128808;Municipal - Guidoval;2;0;2;2;0;0;0;0;2;2;0
Municipal - 4316808;Municipal - Santa Cruz do Sul;47;0;47;46;1;0;0;11;36;46;1
Municipal - 5003702;Municipal - Dourados;85;0;85;78;7;0;0;29;56;74;11
Municipal - 3550704;Municipal - São Sebastião;48;0;48;48;0;0;0;19;29;25;23
Municipal - 5214507;Municipal - Nerópolis;8;0;8;8;0;0;0;1;7;7;1
Municipal - 2103554;Municipal - Conceição do Lago-Açu;36;0;36;6;8;22;0;0;36;5;31
Municipal - 2302206;Municipal - Beberibe;40;0;40;24;15;0;1;6;34;20;20
Municipal - 4115804;Municipal - Medianeira;21;0;21;21;0;0;0;5;16;9;12
Municipal - 4112801;Municipal - Joaquim Távora;9;0;9;8;1;0;0;0;9;1;8
Municipal - 4308201;Municipal - Flores da Cunha;11;0;11;11;0;0;0;1;10;6;5
Municipal - 3557105;Municipal - Votuporanga;31;0;31;30;1;0;0;0;31;3;28
Municipal - 2513703;Municipal - Santa Rita;57;0;57;46;11;0;0;0;57;12;45
Municipal - 4105805;Municipal - Colombo;90;0;90;90;0;0;0;34;56;67;23
Municipal - 4312807;Municipal - Nova Araçá;3;0;3;3;0;0;0;0;3;2;1
Municipal - 4209300;Municipal - Lages;123;0;123;120;3;0;0;8;115;50;73
Municipal - 4113700;Municipal - Londrina;120;0;120;115;5;0;0;31;89;115;5
Municipal - 4314100;Municipal - Passo Fundo;71;0;71;70;0;0;1;27;44;53;18
Municipal - 5003306;Municipal - Coxim;11;0;11;10;0;1;0;1;10;7;4
Municipal - 2203206;Municipal - Curimatá;12;0;12;9;3;0;0;3;9;8;4
Municipal - 3143302;Municipal - Montes Claros;99;0;99;77;19;2;1;6;93;68;31
Municipal - 3543402;Municipal - Ribeirão Preto;108;0;108;108;0;0;0;6;102;40;68
Municipal - 3124203;Municipal - Espera Feliz;18;0;18;10;8;0;0;1;17;5;13
Municipal - 4119509;Municipal - Piraquara;38;0;38;38;0;0;0;18;20;37;1
Municipal - 3503901;Municipal - Arujá;39;0;39;39;0;0;0;16;23;38;1
Municipal - 4208807;Municipal - Jaguaruna;16;0;16;10;6;0;0;0;16;2;14
Municipal - 2925501;Municipal - Prado;33;0;33;16;16;1;0;1;32;8;25
Municipal - 2401651;Municipal - Bodó;6;0;6;3;3;0;0;0;6;3;3
Municipal - 3145877;Municipal - Orizânia;8;0;8;4;4;0;0;0;8;3;5
Municipal - 2514701;Municipal - São José do Sabugi;7;0;7;3;4;0;0;0;7;1;6
Municipal - 2513406;Municipal - Santa Luzia;8;0;8;6;2;0;0;0;8;8;0
Municipal - 4101804;Municipal - Araucária;72;0;72;71;1;0;0;16;56;66;6
Municipal - 3154101;Municipal - Recreio;6;0;6;3;3;0;0;0;6;2;4
Municipal - 4214805;Municipal - Rio do Sul;30;0;30;30;0;0;0;8;22;29;1
Municipal - 4215000;Municipal - Rio Negrinho;31;0;31;31;0;0;0;17;14;31;0
Municipal - 5005103;Municipal - Jateí;2;0;2;2;0;0;0;0;2;2;0
Municipal - 2109056;Municipal - Porto Rico do Maranhão;12;0;12;7;3;2;0;1;11;5;7
Municipal - 2925956;Municipal - Rafael Jambeiro;25;0;25;14;4;1;6;7;18;21;4
Municipal - 3513504;Municipal - Cubatão;51;0;51;51;0;0;0;8;43;31;20
Municipal - 4127700;Municipal - Toledo;66;0;66;66;0;0;0;3;63;11;55
Municipal - 4109401;Municipal - Guarapuava;70;0;70;67;3;0;0;34;36;56;14
Municipal - 3117504;Municipal - Conceição do Mato Dentro;17;0;17;15;2;0;0;0;17;2;15
Municipal - 4319406;Municipal - São Pedro do Sul;10;0;10;10;0;0;0;4;6;8;2
Municipal - 2922201;Municipal - Muniz Ferreira;19;0;19;10;8;0;1;1;18;9;10
Municipal - 3551207;Municipal - Sarutaiá;2;0;2;2;0;0;0;0;2;1;1
Municipal - 2902104;Municipal - Araci;58;0;58;30;28;0;0;1;57;27;31
Municipal - 4117222;Municipal - Nova Santa Rosa;6;0;6;6;0;0;0;4;2;6;0
Municipal - 2409407;Municipal - Pau dos Ferros;18;0;18;18;0;0;0;6;12;16;2
Municipal - 2900702;Municipal - Alagoinhas;77;0;77;48;29;0;0;5;72;37;40
Municipal - 2914604;Municipal - Irecê;30;0;30;29;1;0;0;2;28;18;12
Estadual - 42;Estadual - Santa Catarina;1268;0;1268;1176;85;1;6;346;922;823;445
Municipal - 3204708;Municipal - São Gabriel da Palha;22;0;22;16;6;0;0;1;21;12;10
Municipal - 4213401;Municipal - Ponte Serrada;9;0;9;6;2;1;0;2;7;6;3
Municipal - 5214606;Municipal - Niquelândia;21;0;21;18;1;2;0;4;17;12;9
Municipal - 3132305;Municipal - Itaipé;10;0;10;3;7;0;0;0;10;1;9
Municipal - 2407005;Municipal - Luís Gomes;15;0;15;11;4;0;0;2;13;12;3
Municipal - 3172004;Municipal - Visconde do Rio Branco;17;0;17;10;7;0;0;2;15;8;9
Municipal - 2313401;Municipal - Tianguá;56;0;56;38;17;0;1;3;53;19;37
Municipal - 2105302;Municipal - Imperatriz;132;0;132;117;15;0;0;25;107;84;48
Municipal - 4108106;Municipal - Flórida;2;0;2;2;0;0;0;0;2;2;0
Municipal - 4311759;Municipal - Manoel Viana;4;0;4;4;0;0;0;0;4;3;1
Municipal - 3203502;Municipal - Montanha;17;0;17;15;2;0;0;6;11;15;2
Municipal - 3505708;Municipal - Barueri;112;0;112;110;0;0;2;2;110;16;96
Municipal - 3145604;Municipal - Oliveira;16;0;16;10;6;0;0;0;16;2;14
Municipal - 3118601;Municipal - Contagem;122;0;122;121;0;0;1;1;121;5;117
Municipal - 3144607;Municipal - Nepomuceno;9;0;9;5;4;0;0;2;7;5;4
Municipal - 3538600;Municipal - Piracaia;18;0;18;16;2;0;0;0;18;4;14
Municipal - 2707701;Municipal - Rio Largo;40;0;40;38;2;0;0;7;33;14;26
Municipal - 2904050;Municipal - Bonito;24;0;24;14;10;0;0;3;21;10;14
Municipal - 3201308;Municipal - Cariacica;126;0;126;121;1;0;4;25;101;116;10
Municipal - 3506003;Municipal - Bauru;83;0;83;83;0;0;0;8;75;16;67
Municipal - 3304557;Municipal - Rio de Janeiro;1545;0;1545;1544;1;0;0;100;1445;833;712
Municipal - 4108320;Municipal - Francisco Alves;6;0;6;6;0;0;0;1;5;6;0
Municipal - 4313003;Municipal - Nova Bréscia;2;0;2;2;0;0;0;0;2;2;0
Municipal - 4304606;Municipal - Canoas;83;0;83;83;0;0;0;19;64;62;21
Municipal - 5105176;Municipal - Juruena;7;0;7;7;0;0;0;1;6;4;3
Municipal - 2922656;Municipal - Nordestina;10;0;10;10;0;0;0;0;10;10;0
Municipal - 3511409;Municipal - Cerqueira César;8;0;8;8;0;0;0;0;8;1;7
Municipal - 2106631;Municipal - Matões do Norte;45;0;45;7;37;1;0;0;45;4;41
Municipal - 3546405;Municipal - Santa Cruz do Rio Pardo;18;0;18;16;2;0;0;3;15;15;3
Municipal - 2616308;Municipal - Vicência;18;0;18;13;5;0;0;1;17;8;10
Municipal - 4305975;Municipal - Coxilha;2;0;2;2;0;0;0;0;2;1;1
Municipal - 3531407;Municipal - Monte Aprazível;13;0;13;10;3;0;0;4;9;9;4
Municipal - 3166303;Municipal - Sericita;8;0;8;3;5;0;0;2;6;6;2
Municipal - 5002209;Municipal - Bonito;12;0;12;12;0;0;0;3;9;10;2
Municipal - 2932903;Municipal - Valença;137;0;137;56;81;0;0;12;125;24;113
Municipal - 4208708;Municipal - Jacinto Machado;9;0;9;6;3;0;0;0;9;2;7
Municipal - 2108058;Municipal - Paulino Neves;53;0;53;13;40;0;0;2;51;9;44
Municipal - 2606705;Municipal - Ibirajuba;12;0;12;9;3;0;0;0;12;3;9
Municipal - 3167707;Municipal - Sobrália;6;0;6;4;2;0;0;1;5;3;3
Municipal - 5005202;Municipal - Ladário;15;0;15;14;1;0;0;1;14;7;8
Municipal - 4321501;Municipal - Torres;17;0;17;17;0;0;0;7;10;17;0
Municipal - 4304705;Municipal - Carazinho;28;0;28;28;0;0;0;4;24;18;10
Municipal - 4116703;Municipal - Nova Aurora;9;0;9;9;0;0;0;1;8;3;6
Municipal - 2407807;Municipal - Monte Alegre;27;0;27;25;2;0;0;3;24;14;13
Municipal - 3167202;Municipal - Sete Lagoas;52;0;52;47;4;0;1;1;51;5;47
Municipal - 5003454;Municipal - Deodápolis;5;0;5;4;1;0;0;0;5;1;4
Municipal - 4105607;Municipal - Cidade Gaúcha;5;0;5;5;0;0;0;0;5;4;1
