"uf","municipios","esfera","status"
AL,Mata Grande,Municipal,Não iniciado
AL,Matriz de Camaragibe,Municipal,Não iniciado
AL,Messias,Municipal,Não iniciado
AL,Minador do Negrão,Municipal,Não iniciado
AL,Monteirópolis,Municipal,Não iniciado
AL,Murici,Municipal,Não iniciado
AL,Novo Lino,Municipal,Não iniciado
AL,Olho d'Água das Flores,Municipal,Não iniciado
AL,Olho d'Água do Casado,Municipal,Não iniciado
AL,Olho d'Água Grande,Municipal,Não iniciado
AL,Olivença,Municipal,Não iniciado
AL,Ouro Branco,Municipal,Não iniciado
AL,Palestina,Municipal,Não iniciado
AL,Palmeira dos Índios,Municipal,Não iniciado
AL,Pão de Açúcar,Municipal,Não iniciado
AL,Pariconha,Municipal,Não iniciado
AL,Paripueira,Municipal,Não iniciado
AL,Passo de Camaragibe,Municipal,Não iniciado
AL,Paulo Jacinto,Municipal,Não iniciado
AL,Penedo,Municipal,Não iniciado
AL,Piaçabuçu,Municipal,Não iniciado
AL,Pilar,Municipal,Não iniciado
AL,Pindoba,Municipal,Não iniciado
AL,Piranhas,Municipal,Não iniciado
AL,Poço das Trincheiras,Municipal,Não iniciado
AL,Porto Calvo,Municipal,Não iniciado
AL,Porto de Pedras,Municipal,Não iniciado
AL,Porto Real do Colégio,Municipal,Não iniciado
AL,Quebrangulo,Municipal,Não iniciado
AL,Rio Largo,Municipal,Não iniciado
AL,Roteiro,Municipal,Não iniciado
AL,Santa Luzia do Norte,Municipal,Não iniciado
AL,Santana do Ipanema,Municipal,Não iniciado
AL,Santana do Mundaú,Municipal,Não iniciado
AL,São Brás,Municipal,Não iniciado
AL,São José da Laje,Municipal,Não iniciado
AL,São José da Tapera,Municipal,Não iniciado
AL,São Luís do Quitunde,Municipal,Não iniciado
AL,São Miguel dos Campos,Municipal,Não iniciado
AL,São Miguel dos Milagres,Municipal,Não iniciado
AL,São Sebastião,Municipal,Não iniciado
AL,Satuba,Municipal,Não iniciado
AL,Senador Rui Palmeira,Municipal,Não iniciado
AL,Tanque d'Arca,Municipal,Não iniciado
AL,Taquarana,Municipal,Não iniciado
AL,Teotônio Vilela,Municipal,Não iniciado
AL,Traipu,Municipal,Não iniciado
AL,União dos Palmares,Municipal,Não iniciado
AL,Viçosa,Municipal,Não iniciado
AM,-,Estatual,Não iniciado
AM,Alvarães,Municipal,Não iniciado
AM,Amaturá,Municipal,Não iniciado
AM,Anamã,Municipal,Não iniciado
AM,Anori,Municipal,Não iniciado
AM,Apuí,Municipal,Não iniciado
AM,Atalaia do Norte,Municipal,Não iniciado
AM,Autazes,Municipal,Não iniciado
AM,Barcelos,Municipal,Não iniciado
AM,Barreirinha,Municipal,Não iniciado
AM,Benjamin Constant,Municipal,Não iniciado
AM,Beruri,Municipal,Não iniciado
AM,Boa Vista do Ramos,Municipal,Não iniciado
AM,Boca do Acre,Municipal,Não iniciado
AM,Borba,Municipal,Não iniciado
AM,Caapiranga,Municipal,Não iniciado
AM,Canutama,Municipal,Não iniciado
AM,Carauari,Municipal,Não iniciado
AM,Careiro,Municipal,Não iniciado
AM,Careiro da Várzea,Municipal,Não iniciado
AM,Coari,Municipal,Não iniciado
AM,Codajás,Municipal,Não iniciado
AM,Eirunepé,Municipal,Seleção das Escolas
AM,Envira,Municipal,Seleção das Escolas
AM,Fonte Boa,Municipal,Não iniciado
AM,Guajará,Municipal,Não iniciado
AM,Humaitá,Municipal,Não iniciado
AM,Ipixuna,Municipal,Não iniciado
AM,Iranduba,Municipal,Não iniciado
AM,Itacoatiara,Municipal,Não iniciado
AM,Itamarati,Municipal,Não iniciado
AM,Itapiranga,Municipal,Não iniciado
AM,Japurá,Municipal,Não iniciado
AM,Juruá,Municipal,Não iniciado
AM,Jutaí,Municipal,Não iniciado
AM,Lábrea,Municipal,Não iniciado
AM,Manacapuru,Municipal,Não iniciado
AM,Manaquiri,Municipal,Não iniciado
AM,Manaus,Municipal,Não iniciado
AM,Manicoré,Municipal,Não iniciado
AM,Maraã,Municipal,Não iniciado
AM,Maués,Municipal,Não iniciado
AM,Nhamundá,Municipal,Não iniciado
AM,Nova Olinda do Norte,Municipal,Não iniciado
AM,Novo Airão,Municipal,Não iniciado
AM,Novo Aripuanã,Municipal,Não iniciado
AM,Parintins,Municipal,Não iniciado
AM,Pauini,Municipal,Não iniciado
AM,Presidente Figueiredo,Municipal,Não iniciado
AM,Rio Preto da Eva,Municipal,Não iniciado
AM,Santa Isabel do Rio Negro,Municipal,Não iniciado
AM,Santo Antônio do Içá,Municipal,Não iniciado
AM,São Gabriel da Cachoeira,Municipal,Não iniciado
AM,São Paulo de Olivença,Municipal,Não iniciado
AM,São Sebastião do Uatumã,Municipal,Não iniciado
AM,Silves,Municipal,Não iniciado
AM,Tabatinga,Municipal,Não iniciado
AM,Tapauá,Municipal,Não iniciado
AM,Tefé,Municipal,Seleção das Escolas
AM,Tonantins,Municipal,Não iniciado
AM,Uarini,Municipal,Não iniciado
AM,Urucará,Municipal,Não iniciado
AM,Urucurituba,Municipal,Não iniciado
AP,-,Estatual,Não iniciado
AP,Amapá,Municipal,Não iniciado
AP,Calçoene,Municipal,Não iniciado
AP,Cutias,Municipal,Não iniciado
AP,Ferreira Gomes,Municipal,Não iniciado
AP,Itaubal,Municipal,Não iniciado
AP,Laranjal do Jari,Municipal,Não iniciado
AP,Macapá,Municipal,Não iniciado
AP,Mazagão,Municipal,Não iniciado
AP,Oiapoque,Municipal,Não iniciado
AP,Pedra Branca do Amapari,Municipal,Não iniciado
AP,Porto Grande,Municipal,Não iniciado
AP,Pracuúba,Municipal,Não iniciado
AP,Santana,Municipal,Não iniciado
AP,Serra do Navio,Municipal,Não iniciado
AP,Tartarugalzinho,Municipal,Não iniciado
AP,Vitória do Jari,Municipal,Não iniciado
BA,-,Estatual,Não iniciado
BA,Abaíra,Municipal,Não iniciado
BA,Abaré,Municipal,Não iniciado
BA,Acajutiba,Municipal,Não iniciado
BA,Adustina,Municipal,Não iniciado
BA,Água Fria,Municipal,Não iniciado
BA,Aiquara,Municipal,Não iniciado
BA,Alagoinhas,Municipal,Não iniciado
BA,Alcobaça,Municipal,Não iniciado
BA,Almadina,Municipal,Não iniciado
BA,Amargosa,Municipal,Não iniciado
BA,Amélia Rodrigues,Municipal,Não iniciado
BA,América Dourada,Municipal,Não iniciado
BA,Anagé,Municipal,Não iniciado
BA,Andaraí,Municipal,Não iniciado
BA,Andorinha,Municipal,Não iniciado
BA,Angical,Municipal,Não iniciado
BA,Anguera,Municipal,Não iniciado
BA,Antas,Municipal,Não iniciado
BA,Antônio Cardoso,Municipal,Não iniciado
BA,Antônio Gonçalves,Municipal,Não iniciado
BA,Aporá,Municipal,Não iniciado
BA,Apuarema,Municipal,Não iniciado
BA,Araças,Municipal,Não iniciado
BA,Aracatu,Municipal,Não iniciado
BA,Araci,Municipal,Não iniciado
BA,Aramari,Municipal,Não iniciado
BA,Arataca,Municipal,Não iniciado
BA,Aratuípe,Municipal,Não iniciado
BA,Aurelino Leal,Municipal,Não iniciado
BA,Baianópolis,Municipal,Não iniciado
BA,Baixa Grande,Municipal,Não iniciado
BA,Banzaê,Municipal,Não iniciado
BA,Barra,Municipal,Não iniciado
BA,Barra da Estiva,Municipal,Não iniciado
BA,Barra do Choça,Municipal,Não iniciado
BA,Barra do Mendes,Municipal,Não iniciado
BA,Barra do Rocha,Municipal,Não iniciado
BA,Barreiras,Municipal,Não iniciado
BA,Barro Alto,Municipal,Não iniciado
BA,Barrocas,Municipal,Não iniciado
BA,Barro Preto,Municipal,Não iniciado
BA,Belmonte,Municipal,Não iniciado
BA,Belo Campo,Municipal,Não iniciado
BA,Biritinga,Municipal,Não iniciado
BA,Boa Nova,Municipal,Não iniciado
BA,Boa Vista do Tupim,Municipal,Não iniciado
BA,Bom Jesus da Lapa,Municipal,Não iniciado
BA,Bom Jesus da Serra,Municipal,Não iniciado
BA,Boninal,Municipal,Não iniciado
BA,Bonito,Municipal,Não iniciado
BA,Boquira,Municipal,Não iniciado
BA,Botuporã,Municipal,Não iniciado
BA,Brejões,Municipal,Não iniciado
BA,Brejolândia,Municipal,Não iniciado
BA,Brotas de Macaúbas,Municipal,Não iniciado
BA,Brumado,Municipal,Não iniciado
BA,Buerarema,Municipal,Não iniciado
BA,Buritirama,Municipal,Não iniciado
BA,Caatiba,Municipal,Não iniciado
BA,Cabaceiras do Paraguaçu,Municipal,Não iniciado
BA,Cachoeira,Municipal,Não iniciado
BA,Caculé,Municipal,Não iniciado
BA,Caém,Municipal,Não iniciado
BA,Caetanos,Municipal,Não iniciado
BA,Caetité,Municipal,Não iniciado
BA,Cafarnaum,Municipal,Não iniciado
BA,Cairu,Municipal,Não iniciado
BA,Caldeirão Grande,Municipal,Não iniciado
BA,Camacan,Municipal,Não iniciado
BA,Camaçari,Municipal,Não iniciado
BA,Camamu,Municipal,Não iniciado
BA,Campo Alegre de Lourdes,Municipal,Não iniciado
BA,Campo Formoso,Municipal,Não iniciado
BA,Canápolis,Municipal,Não iniciado
BA,Canarana,Municipal,Não iniciado
BA,Canavieiras,Municipal,Não iniciado
BA,Candeal,Municipal,Não iniciado
BA,Candeias,Municipal,Não iniciado
BA,Candiba,Municipal,Não iniciado
BA,Cândido Sales,Municipal,Não iniciado
BA,Cansanção,Municipal,Não iniciado
BA,Canudos,Municipal,Não iniciado
BA,Capela do Alto Alegre,Municipal,Não iniciado
BA,Capim Grosso,Municipal,Não iniciado
BA,Caraíbas,Municipal,Não iniciado
BA,Caravelas,Municipal,Não iniciado
BA,Cardeal da Silva,Municipal,Não iniciado
BA,Carinhanha,Municipal,Não iniciado
BA,Casa Nova,Municipal,Não iniciado
BA,Castro Alves,Municipal,Não iniciado
BA,Catolândia,Municipal,Não iniciado
BA,Catu,Municipal,Não iniciado
BA,Caturama,Municipal,Não iniciado
BA,Central,Municipal,Não iniciado
BA,Chorrochó,Municipal,Não iniciado
BA,Cícero Dantas,Municipal,Não iniciado
BA,Cipó,Municipal,Não iniciado
BA,Coaraci,Municipal,Não iniciado
BA,Cocos,Municipal,Não iniciado
BA,Conceição da Feira,Municipal,Não iniciado
BA,Conceição do Almeida,Municipal,Não iniciado
BA,Conceição do Coité,Municipal,Não iniciado
BA,Conceição do Jacuípe,Municipal,Não iniciado
BA,Conde,Municipal,Não iniciado
BA,Condeúba,Municipal,Não iniciado
BA,Contendas do Sincorá,Municipal,Não iniciado
BA,Coração de Maria,Municipal,Não iniciado
BA,Cordeiros,Municipal,Não iniciado
BA,Coribe,Municipal,Não iniciado
BA,Coronel João Sá,Municipal,Não iniciado
BA,Correntina,Municipal,Não iniciado
BA,Cotegipe,Municipal,Não iniciado
BA,Cravolândia,Municipal,Não iniciado
BA,Crisópolis,Municipal,Não iniciado
BA,Cristópolis,Municipal,Não iniciado
BA,Cruz das Almas,Municipal,Não iniciado
BA,Curaçá,Municipal,Não iniciado
BA,Dário Meira,Municipal,Não iniciado
BA,Dias d'Ávila,Municipal,Não iniciado
BA,Dom Basílio,Municipal,Não iniciado
BA,Dom Macedo Costa,Municipal,Não iniciado
BA,Elísio Medrado,Municipal,Não iniciado
BA,Encruzilhada,Municipal,Não iniciado
BA,Entre Rios,Municipal,Não iniciado
BA,Érico Cardoso,Municipal,Não iniciado
BA,Esplanada,Municipal,Não iniciado
BA,Euclides da Cunha,Municipal,Não iniciado
BA,Eunápolis,Municipal,Não iniciado
BA,Fátima,Municipal,Não iniciado
BA,Feira da Mata,Municipal,Não iniciado
BA,Feira de Santana,Municipal,Não iniciado
BA,Filadélfia,Municipal,Não iniciado
BA,Firmino Alves,Municipal,Não iniciado
BA,Floresta Azul,Municipal,Não iniciado
BA,Formosa do Rio Preto,Municipal,Não iniciado
BA,Gandu,Municipal,Não iniciado
BA,Gavião,Municipal,Não iniciado
BA,Gentio do Ouro,Municipal,Não iniciado
BA,Glória,Municipal,Não iniciado
BA,Gongogi,Municipal,Não iniciado
BA,Governador Mangabeira,Municipal,Não iniciado
BA,Guajeru,Municipal,Não iniciado
BA,Guanambi,Municipal,Não iniciado
BA,Guaratinga,Municipal,Não iniciado
BA,Heliópolis,Municipal,Não iniciado
BA,Iaçu,Municipal,Não iniciado
BA,Ibiassucê,Municipal,Não iniciado
BA,Ibicaraí,Municipal,Não iniciado
BA,Ibicoara,Municipal,Não iniciado
BA,Ibicuí,Municipal,Não iniciado
BA,Ibipeba,Municipal,Não iniciado
BA,Ibipitanga,Municipal,Não iniciado
BA,Ibiquera,Municipal,Não iniciado
BA,Ibirapitanga,Municipal,Não iniciado
BA,Ibirapuã,Municipal,Não iniciado
BA,Ibirataia,Municipal,Não iniciado
BA,Ibitiara,Municipal,Não iniciado
BA,Ibititá,Municipal,Não iniciado
BA,Ibotirama,Municipal,Não iniciado
BA,Ichu,Municipal,Não iniciado
BA,Igaporã,Municipal,Não iniciado
BA,Igrapiúna,Municipal,Não iniciado
BA,Iguaí,Municipal,Não iniciado
BA,Ilhéus,Municipal,Não iniciado
BA,Inhambupe,Municipal,Não iniciado
BA,Ipecaetá,Municipal,Não iniciado
BA,Ipiaú,Municipal,Não iniciado
BA,Ipirá,Municipal,Não iniciado
BA,Ipupiara,Municipal,Não iniciado
BA,Irajuba,Municipal,Não iniciado
BA,Iramaia,Municipal,Não iniciado
BA,Iraquara,Municipal,Não iniciado
BA,Irará,Municipal,Não iniciado
BA,Irecê,Municipal,Não iniciado
BA,Itabela,Municipal,Não iniciado
BA,Itaberaba,Municipal,Não iniciado
BA,Itabuna,Municipal,Não iniciado
BA,Itacaré,Municipal,Não iniciado
BA,Itaeté,Municipal,Não iniciado
BA,Itagi,Municipal,Não iniciado
BA,Itagibá,Municipal,Não iniciado
BA,Itagimirim,Municipal,Não iniciado
BA,Itaguaçu da Bahia,Municipal,Não iniciado
BA,Itaju do Colônia,Municipal,Não iniciado
BA,Itajuípe,Municipal,Não iniciado
BA,Itamaraju,Municipal,Não iniciado
BA,Itamari,Municipal,Não iniciado
BA,Itambé,Municipal,Não iniciado
BA,Itanagra,Municipal,Não iniciado
BA,Itanhém,Municipal,Não iniciado
BA,Itaparica,Municipal,Não iniciado
BA,Itapé,Municipal,Não iniciado
BA,Itapebi,Municipal,Não iniciado
BA,Itapetinga,Municipal,Não iniciado
BA,Itapicuru,Municipal,Não iniciado
BA,Itapitanga,Municipal,Não iniciado
BA,Itaquara,Municipal,Não iniciado
BA,Itarantim,Municipal,Não iniciado
BA,Itatim,Municipal,Não iniciado
BA,Itiruçu,Municipal,Não iniciado
BA,Itiúba,Municipal,Não iniciado
BA,Itororó,Municipal,Não iniciado
BA,Ituaçu,Municipal,Não iniciado
BA,Ituberá,Municipal,Não iniciado
BA,Iuiú,Municipal,Não iniciado
BA,Jaborandi,Municipal,Não iniciado
BA,Jacaraci,Municipal,Não iniciado
BA,Jacobina,Municipal,Não iniciado
BA,Jaguaquara,Municipal,Não iniciado
BA,Jaguarari,Municipal,Não iniciado
BA,Jaguaripe,Municipal,Não iniciado
BA,Jandaíra,Municipal,Não iniciado
BA,Jequié,Municipal,Não iniciado
BA,Jeremoabo,Municipal,Não iniciado
BA,Jiquiriçá,Municipal,Não iniciado
BA,Jitaúna,Municipal,Não iniciado
BA,João Dourado,Municipal,Não iniciado
BA,Juazeiro,Municipal,Não iniciado
BA,Jucuruçu,Municipal,Não iniciado
BA,Jussara,Municipal,Não iniciado
BA,Jussari,Municipal,Não iniciado
BA,Jussiape,Municipal,Não iniciado
BA,Lafaiete Coutinho,Municipal,Não iniciado
BA,Lagoa Real,Municipal,Não iniciado
BA,Laje,Municipal,Não iniciado
BA,Lajedão,Municipal,Não iniciado
BA,Lajedinho,Municipal,Não iniciado
BA,Lajedo do Tabocal,Municipal,Não iniciado
BA,Lamarão,Municipal,Não iniciado
BA,Lapão,Municipal,Não iniciado
BA,Lauro de Freitas,Municipal,Não iniciado
BA,Lençóis,Municipal,Não iniciado
BA,Licínio de Almeida,Municipal,Não iniciado
BA,Livramento de Nossa Senhora,Municipal,Não iniciado
BA,Luís Eduardo Magalhães,Municipal,Não iniciado
BA,Macajuba,Municipal,Não iniciado
BA,Macarani,Municipal,Não iniciado
BA,Macaúbas,Municipal,Não iniciado
BA,Macururé,Municipal,Não iniciado
BA,Madre de Deus,Municipal,Não iniciado
BA,Maetinga,Municipal,Não iniciado
BA,Maiquinique,Municipal,Não iniciado
BA,Mairi,Municipal,Não iniciado
BA,Malhada,Municipal,Não iniciado
BA,Malhada de Pedras,Municipal,Não iniciado
BA,Manoel Vitorino,Municipal,Não iniciado
BA,Mansidão,Municipal,Não iniciado
BA,Maracás,Municipal,Não iniciado
BA,Maragogipe,Municipal,Não iniciado
BA,Maraú,Municipal,Não iniciado
BA,Marcionílio Souza,Municipal,Não iniciado
BA,Mascote,Municipal,Não iniciado
BA,Mata de São João,Municipal,Não iniciado
BA,Matina,Municipal,Não iniciado
BA,Medeiros Neto,Municipal,Não iniciado
BA,Miguel Calmon,Municipal,Não iniciado
BA,Milagres,Municipal,Não iniciado
BA,Mirangaba,Municipal,Não iniciado
BA,Mirante,Municipal,Não iniciado
BA,Monte Santo,Municipal,Não iniciado
BA,Morpará,Municipal,Não iniciado
BA,Morro do Chapéu,Municipal,Não iniciado
BA,Mortugaba,Municipal,Não iniciado
BA,Mucugê,Municipal,Não iniciado
BA,Mucuri,Municipal,Não iniciado
BA,Mulungu do Morro,Municipal,Não iniciado
BA,Mundo Novo,Municipal,Não iniciado
BA,Muniz Ferreira,Municipal,Não iniciado
BA,Muquém de São Francisco,Municipal,Não iniciado
BA,Muritiba,Municipal,Não iniciado
BA,Mutuípe,Municipal,Não iniciado
BA,Nazaré,Municipal,Não iniciado
BA,Nilo Peçanha,Municipal,Não iniciado
BA,Nordestina,Municipal,Não iniciado
BA,Nova Canaã,Municipal,Não iniciado
BA,Nova Fátima,Municipal,Não iniciado
BA,Nova Ibiá,Municipal,Não iniciado
BA,Nova Itarana,Municipal,Não iniciado
BA,Nova Redenção,Municipal,Não iniciado
BA,Nova Soure,Municipal,Não iniciado
BA,Nova Viçosa,Municipal,Não iniciado
BA,Novo Horizonte,Municipal,Não iniciado
BA,Novo Triunfo,Municipal,Não iniciado
BA,Olindina,Municipal,Não iniciado
BA,Oliveira dos Brejinhos,Municipal,Não iniciado
BA,Ouriçangas,Municipal,Não iniciado
BA,Ourolândia,Municipal,Não iniciado
BA,Palmas de Monte Alto,Municipal,Não iniciado
BA,Palmeiras,Municipal,Não iniciado
BA,Paramirim,Municipal,Não iniciado
BA,Paratinga,Municipal,Não iniciado
BA,Paripiranga,Municipal,Não iniciado
BA,Pau Brasil,Municipal,Não iniciado
BA,Paulo Afonso,Municipal,Não iniciado
BA,Pé de Serra,Municipal,Não iniciado
BA,Pedrão,Municipal,Não iniciado
BA,Pedro Alexandre,Municipal,Não iniciado
BA,Piatã,Municipal,Não iniciado
BA,Pilão Arcado,Municipal,Não iniciado
BA,Pindaí,Municipal,Não iniciado
BA,Pindobaçu,Municipal,Não iniciado
BA,Pintadas,Municipal,Não iniciado
BA,Piraí do Norte,Municipal,Não iniciado
BA,Piripá,Municipal,Não iniciado
BA,Piritiba,Municipal,Não iniciado
BA,Planaltino,Municipal,Não iniciado
BA,Planalto,Municipal,Não iniciado
BA,Poções,Municipal,Não iniciado
BA,Pojuca,Municipal,Não iniciado
BA,Ponto Novo,Municipal,Não iniciado
BA,Porto Seguro,Municipal,Não iniciado
BA,Potiraguá,Municipal,Não iniciado
BA,Prado,Municipal,Não iniciado
BA,Presidente Dutra,Municipal,Não iniciado
BA,Presidente Jânio Quadros,Municipal,Não iniciado
BA,Presidente Tancredo Neves,Municipal,Não iniciado
BA,Queimadas,Municipal,Não iniciado
BA,Quijingue,Municipal,Não iniciado
BA,Quixabeira,Municipal,Não iniciado
BA,Rafael Jambeiro,Municipal,Não iniciado
BA,Remanso,Municipal,Não iniciado
BA,Retirolândia,Municipal,Não iniciado
BA,Riachão das Neves,Municipal,Não iniciado
BA,Riachão do Jacuípe,Municipal,Não iniciado
BA,Riacho de Santana,Municipal,Não iniciado
BA,Ribeira do Amparo,Municipal,Não iniciado
BA,Ribeira do Pombal,Municipal,Não iniciado
BA,Ribeirão do Largo,Municipal,Não iniciado
BA,Rio de Contas,Municipal,Não iniciado
BA,Rio do Antônio,Municipal,Não iniciado
BA,Rio do Pires,Municipal,Não iniciado
BA,Rio Real,Municipal,Não iniciado
BA,Rodelas,Municipal,Não iniciado
BA,Ruy Barbosa,Municipal,Não iniciado
BA,Salinas da Margarida,Municipal,Não iniciado
BA,Salvador,Municipal,Não iniciado
BA,Santa Bárbara,Municipal,Não iniciado
BA,Santa Brígida,Municipal,Não iniciado
BA,Santa Cruz Cabrália,Municipal,Não iniciado
BA,Santa Cruz da Vitória,Municipal,Não iniciado
BA,Santa Inês,Municipal,Não iniciado
BA,Santaluz,Municipal,Não iniciado
BA,Santa Luzia,Municipal,Não iniciado
BA,Santa Maria da Vitória,Municipal,Não iniciado
BA,Santana,Municipal,Não iniciado
BA,Santanópolis,Municipal,Não iniciado
BA,Santa Rita de Cássia,Municipal,Não iniciado
BA,Santa Teresinha,Municipal,Não iniciado
BA,Santo Amaro,Municipal,Não iniciado
BA,Santo Antônio de Jesus,Municipal,Não iniciado
BA,Santo Estêvão,Municipal,Não iniciado
BA,São Desidério,Municipal,Não iniciado
BA,São Domingos,Municipal,Não iniciado
BA,São Felipe,Municipal,Não iniciado
BA,São Félix,Municipal,Não iniciado
BA,São Félix do Coribe,Municipal,Não iniciado
BA,São Francisco do Conde,Municipal,Não iniciado
BA,São Gabriel,Municipal,Não iniciado
BA,São Gonçalo dos Campos,Municipal,Não iniciado
BA,São José da Vitória,Municipal,Não iniciado
BA,São José do Jacuípe,Municipal,Não iniciado
BA,São Miguel das Matas,Municipal,Não iniciado
BA,São Sebastião do Passé,Municipal,Não iniciado
BA,Sapeaçu,Municipal,Não iniciado
BA,Sátiro Dias,Municipal,Não iniciado
BA,Saubara,Municipal,Não iniciado
BA,Saúde,Municipal,Não iniciado
BA,Seabra,Municipal,Não iniciado
BA,Sebastião Laranjeiras,Municipal,Não iniciado
BA,Senhor do Bonfim,Municipal,Não iniciado
BA,Sento Sé,Municipal,Não iniciado
BA,Serra do Ramalho,Municipal,Não iniciado
BA,Serra Dourada,Municipal,Não iniciado
BA,Serra Preta,Municipal,Não iniciado
BA,Serrinha,Municipal,Não iniciado
BA,Serrolândia,Municipal,Não iniciado
BA,Simões Filho,Municipal,Não iniciado
BA,Sítio do Mato,Municipal,Não iniciado
BA,Sítio do Quinto,Municipal,Não iniciado
BA,Sobradinho,Municipal,Não iniciado
BA,Souto Soares,Municipal,Não iniciado
BA,Tabocas do Brejo Velho,Municipal,Não iniciado
BA,Tanhaçu,Municipal,Não iniciado
BA,Tanque Novo,Municipal,Não iniciado
BA,Tanquinho,Municipal,Não iniciado
BA,Taperoá,Municipal,Não iniciado
BA,Tapiramutá,Municipal,Não iniciado
BA,Teixeira de Freitas,Municipal,Não iniciado
BA,Teodoro Sampaio,Municipal,Não iniciado
BA,Teofilândia,Municipal,Não iniciado
BA,Teolândia,Municipal,Não iniciado
BA,Terra Nova,Municipal,Não iniciado
BA,Tremedal,Municipal,Não iniciado
BA,Tucano,Municipal,Não iniciado
BA,Uauá,Municipal,Não iniciado
BA,Ubaíra,Municipal,Não iniciado
BA,Ubaitaba,Municipal,Não iniciado
BA,Ubatã,Municipal,Não iniciado
BA,Uibaí,Municipal,Não iniciado
BA,Umburanas,Municipal,Não iniciado
BA,Una,Municipal,Não iniciado
BA,Urandi,Municipal,Não iniciado
BA,Uruçuca,Municipal,Não iniciado
BA,Utinga,Municipal,Não iniciado
BA,Valença,Municipal,Não iniciado
BA,Valente,Municipal,Não iniciado
BA,Várzea da Roça,Municipal,Não iniciado
BA,Várzea do Poço,Municipal,Não iniciado
BA,Várzea Nova,Municipal,Não iniciado
BA,Varzedo,Municipal,Não iniciado
BA,Vera Cruz,Municipal,Não iniciado
BA,Vereda,Municipal,Não iniciado
BA,Vitória da Conquista,Municipal,Não iniciado
BA,Wagner,Municipal,Não iniciado
BA,Wanderley,Municipal,Não iniciado
BA,Wenceslau Guimarães,Municipal,Não iniciado
BA,Xique-Xique,Municipal,Não iniciado
